ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_FEMALE,default_payment_next_month
26,50000,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0
62,70000,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0
67,10000,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,0,1
75,340000,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0
76,20000,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,0
242,50000,1,2,39,0,0,0,0,0,0,47174,47974,48630,50803,30789,15874,1800,2000,3000,2000,2000,2000,0,0
329,340000,2,1,55,-2,-1,-1,-2,-2,-2,50396,44665,8300,2190,24599,7416,44665,8321,2190,24599,7416,77195,0,0
358,380000,2,2,34,0,0,0,0,0,0,194314,179206,193992,174675,171253,169121,9010,35000,5000,6000,5000,4400,0,0
377,30000,2,1,43,1,2,0,0,0,2,20518,19901,20905,21509,25183,24242,0,1342,946,4200,0,1000,0,0
458,50000,1,2,32,-1,0,0,0,0,-2,23974,24131,25326,25775,0,0,1800,1900,1300,0,0,0,0,0
651,270000,1,2,32,-2,-2,-2,-2,-2,-2,0,0,1100,300,-200,-200,0,1100,300,0,0,0,0,0
686,360000,1,1,47,-1,-1,-1,0,-1,-1,1548,-32,177639,174397,4852,4125,0,177671,3508,4876,4188,10007,0,0
722,10000,2,2,22,0,0,0,0,0,0,7960,9649,8518,8628,9293,5033,2000,1000,500,1500,0,2500,0,1
730,60000,1,2,29,-1,2,-1,-1,2,2,546,255,464,1173,732,1023,0,500,1000,0,582,0,0,1
746,170000,3,2,38,0,0,0,0,0,0,21310,22957,24266,25556,29949,34434,2000,2000,2000,5000,5000,5000,0,0
769,220000,2,1,40,-1,-1,-2,-2,-2,-2,158,0,0,0,0,612,0,0,0,0,612,1863,0,0
792,70000,1,2,27,1,-1,-1,-1,-2,-1,-54,273,19,-254,-527,1096,600,19,0,0,1896,0,0,0
915,70000,3,1,30,0,0,0,0,0,0,19882,20611,21859,22445,22935,23404,1352,1600,949,1000,1000,1000,0,0
963,200000,2,2,31,0,0,0,0,0,0,33781,35879,26043,27497,29082,31647,3000,2000,2000,2000,3000,4000,0,0
990,50000,3,1,54,1,2,2,0,0,0,62847,60885,56828,55419,54054,53143,2100,0,2000,2000,2455,4000,0,0
1037,150000,1,2,23,0,0,0,0,0,0,11109,83376,79726,76986,78038,78321,78016,3048,4000,3500,3000,3000,0,0
1122,20000,2,2,30,1,2,4,3,2,2,19977,21359,20581,19860,19690,1735,2000,0,0,0,500,0,0,1
1220,80000,2,2,38,0,0,0,0,0,0,89394,81223,77198,29891,34528,35229,5000,19153,1500,10000,1274,1275,0,0
1238,60000,1,1,33,-1,-1,-1,-1,-1,-1,8308,7565,8373,7565,7565,7565,7565,8373,7565,7565,7565,7565,0,0
1259,210000,1,2,33,-1,-1,-1,-1,-1,-1,291,291,291,291,441,291,291,291,291,441,291,291,0,0
1262,380000,2,1,50,0,0,0,0,0,0,385662,294826,220022,154283,35270,332270,12020,9009,6109,3000,332000,12000,0,1
1275,150000,2,1,34,0,0,0,0,0,0,132214,135140,135263,137540,144786,146379,4414,4700,4306,10006,4822,4112,0,0
1313,320000,2,2,32,0,0,0,0,0,0,21460,23412,25331,25741,26800,28817,3000,3000,1500,2000,3000,2000,0,0
1316,140000,2,1,48,-1,-1,2,0,0,-2,1600,5012,4739,4739,0,0,5012,0,0,0,0,2770,0,1
1327,170000,2,1,48,0,0,0,0,0,0,137823,137199,136331,123913,122657,122225,5396,5000,5000,5000,5000,4000,0,0
1460,10000,2,2,26,0,0,0,0,0,0,15147,6641,15318,8610,8790,8963,2234,1135,1086,319,319,180,0,0
1466,90000,2,1,27,0,0,0,0,0,0,70482,70591,64926,59949,54029,48170,2580,2337,1634,1606,1371,620,0,0
1473,360000,1,1,36,0,0,-1,0,0,0,40434,13352,129978,150637,138969,132118,2000,129990,30000,25000,5000,3000,0,0
1518,190000,3,1,49,2,2,2,2,2,2,178367,179062,177663,180312,185910,191895,5000,3000,7100,8700,9300,9500,0,1
1601,120000,2,2,27,-1,-1,-1,-1,-1,-1,2474,2469,2439,2439,2439,2116,2469,2439,2439,2439,2116,0,0,0
1679,390000,2,1,40,1,2,0,0,0,0,424244,395060,258372,261498,213003,102423,587,9500,30140,4235,1998,25226,0,0
1717,140000,1,2,29,0,0,0,0,0,0,142087,255846,140057,100177,100873,98363,5528,4500,3500,4000,4000,4000,0,0
1723,90000,2,1,44,2,0,0,0,0,0,89875,92338,87511,47796,48306,49054,4000,4200,1700,1800,2083,1827,0,1
1774,50000,2,2,25,2,2,0,0,0,2,7180,6922,7849,8018,8884,8593,0,1200,300,1000,0,1000,0,1
1778,40000,3,1,43,0,0,0,0,0,0,41094,36554,37568,38314,39141,40231,1611,1625,1371,1444,1765,1283,0,1
1790,110000,2,2,26,0,0,0,0,0,0,106417,103587,56676,47332,45171,47092,9026,6000,2000,2000,3000,4006,0,0
1796,200000,1,2,34,1,-2,-2,-2,-2,-2,-800,-2685,-6144,-7905,-10213,-11060,0,0,0,0,0,0,0,0
1805,450000,1,2,31,-1,-1,-1,-1,-1,-1,10350,3629,3271,6271,2135,2546,3629,3271,6271,2135,2546,4877,0,1
1811,20000,2,2,36,-1,-1,-1,0,0,0,3152,0,4956,10148,6979,8353,0,4956,200,2000,1500,500,0,0
1862,10000,2,2,35,1,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700,0,1
1895,100000,2,2,30,1,3,7,6,7,8,72652,90461,89011,96593,105083,103522,20000,0,10000,10000,0,0,0,1
1944,220000,2,2,30,0,0,0,0,0,0,217800,189016,137788,106713,96588,22743,7261,5170,4054,4500,1225,110000,0,0
2029,70000,2,2,31,0,0,0,0,2,0,46079,47232,48618,51134,50222,48874,2200,2500,3600,0,1754,1892,0,1
2135,160000,2,1,66,2,2,2,2,2,2,67771,69535,70848,71739,73090,74490,3400,3000,2600,2600,2700,2800,0,1
2152,150000,1,2,24,-1,-1,-1,-1,-1,-1,1050,3258,3664,1461,2348,3626,3258,3735,1461,2348,3626,3089,0,0
2173,50000,2,1,53,0,0,0,0,0,0,47824,48954,46716,18685,19076,19466,1948,1835,669,692,707,695,0,0
2197,10000,3,2,22,0,0,0,0,0,0,9363,5062,6021,6763,7648,8367,1200,1200,1000,1000,1000,0,0,0
2203,360000,3,1,53,0,0,0,0,0,0,8669,8254,8988,6868,5604,6158,1303,1513,706,700,600,2000,0,0
2262,100000,3,2,30,0,0,0,0,0,0,46675,46567,46638,46454,46262,47823,1800,2000,1700,1683,3500,1500,0,1
2267,360000,2,1,39,0,0,0,0,0,0,23690,67560,26649,15830,20025,21404,60284,16079,5024,9032,8035,12073,0,0
2298,500000,1,1,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2324,90000,2,2,30,0,0,0,-2,-2,-2,46927,40000,0,0,0,0,4000,0,0,0,0,85000,0,0
2376,40000,2,1,38,2,2,2,2,2,2,33152,33623,34773,33917,36704,40404,1300,2000,0,3500,4471,0,0,1
2404,320000,1,2,32,-1,2,-1,-1,-2,-2,752,169,1940,0,0,0,0,1948,0,0,0,0,0,1
2405,20000,2,2,38,-1,-1,-1,0,0,-1,10462,3327,19305,17748,8269,1074,10287,19305,355,0,1074,0,0,0
2457,500000,1,1,51,0,0,0,0,0,0,396402,395484,333041,294173,300616,266973,14034,15040,12018,15028,10038,10018,0,0
2509,60000,1,2,25,0,0,0,0,0,0,13123,14403,16150,17870,19571,21235,1500,2000,2000,2000,2000,1000,0,0
2603,10000,3,2,25,2,0,0,0,0,-2,4693,5371,6327,6055,0,0,1300,1600,400,0,0,0,0,1
2637,130000,2,2,31,1,2,2,2,0,0,70722,69040,70912,63626,59200,38263,0,4130,43,2000,1368,1418,0,0
2670,10000,5,1,43,-1,0,0,0,-2,-2,17560,9829,3604,0,0,0,2537,1000,0,0,0,0,0,1
2686,100000,3,1,44,0,0,0,0,0,0,39649,43608,46899,47447,48035,40484,5000,5000,1554,1595,1686,1200,0,0
2755,20000,1,2,22,0,0,0,0,0,0,3281,4325,5341,5751,6500,7386,1100,1100,500,1000,1000,1000,0,0
2765,150000,1,2,27,0,0,0,0,0,0,82494,83044,84752,84743,78987,65590,3100,3500,3000,5000,3000,2500,0,0
2766,310000,2,1,35,0,0,0,0,0,0,7589,9463,12296,15083,17840,20376,2000,3000,3000,3000,3000,3003,0,0
2868,50000,3,2,41,0,0,0,0,0,0,45487,45548,46076,19092,18227,18285,1858,1685,659,658,656,651,0,0
2873,350000,1,2,37,-2,-2,-2,-2,-2,-2,316,316,316,466,466,316,316,316,466,466,316,316,0,0
3010,30000,3,2,25,2,2,2,0,0,2,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092,0,1
3032,20000,2,2,22,0,0,2,0,0,0,8134,9992,10526,11049,11865,12665,2000,1000,1000,1000,1000,8100,0,0
3038,300000,1,2,36,0,0,0,0,0,0,295433,301521,308038,306154,295664,290329,13000,13116,11000,11000,12000,9300,0,0
3051,160000,2,2,26,0,0,0,0,-1,0,25060,24306,17671,22121,40835,37471,8026,7804,7730,67296,1340,1280,0,0
3066,70000,1,2,25,-1,2,2,2,2,0,3635,4529,4308,4859,4638,4911,1100,0,624,0,500,1000,0,1
3067,20000,3,2,36,1,-1,-1,-1,-1,-1,0,832,0,832,1486,0,832,0,832,1486,0,1248,0,0
3211,230000,3,2,30,1,2,2,3,2,2,213894,218966,238075,233210,233833,190628,10040,28341,0,6508,187,5000,0,0
3218,320000,3,2,52,0,0,0,0,0,0,31858,33562,35119,36886,38756,40543,5000,5000,5000,5000,5000,5000,0,0
3256,10000,3,2,22,0,0,0,0,0,0,5757,6706,7715,7873,8742,9551,1200,1128,286,1000,955,0,0,0
3335,280000,1,1,50,-1,-1,-1,0,0,-2,19378,347,4197,3755,0,0,348,4399,18,0,0,0,0,0
3337,80000,1,2,31,1,2,2,2,2,2,21004,20384,22231,21576,23229,22708,0,2500,0,2000,0,1000,0,1
3434,20000,1,2,22,0,0,0,0,0,0,14677,16625,17924,18674,15452,15882,3004,3006,3007,489,2110,2201,0,0
3525,60000,2,1,39,0,0,0,0,0,0,54282,49541,46074,39917,39382,39799,2128,1608,1391,1410,1580,1548,0,0
3546,90000,2,1,39,0,0,0,0,0,0,20612,21956,23280,23812,24377,24821,1676,2000,1220,1100,1000,1100,0,0
3550,50000,2,1,28,0,0,-1,-1,-1,-1,20914,29303,2515,7885,14493,2113,10087,2522,7951,14493,2120,3027,0,0
3596,210000,3,2,66,0,0,0,0,0,0,209396,136809,139411,138991,140886,143721,6510,6450,5103,5500,5307,5011,0,0
3597,80000,2,2,27,2,0,0,0,0,0,76896,78663,78692,56032,57248,58515,3613,3100,2000,2100,2200,2041,0,1
3607,470000,1,1,57,0,0,0,0,0,0,83852,85008,83882,66207,65549,60805,3477,4100,2022,2100,2156,1740,0,0
3681,30000,1,2,36,0,0,0,0,0,0,9934,10305,1394,1594,566,0,1000,1000,200,0,0,0,0,0
3757,40000,1,2,26,0,0,0,0,0,0,18338,20033,21687,22327,22816,23436,2000,2000,1000,1000,1000,1500,0,0
3789,30000,5,2,23,-2,-1,-1,-1,0,0,2700,899,-1581,28419,29016,30908,899,0,30000,1055,2376,0,0,0
3816,10000,2,2,24,-1,-1,-1,-1,-1,-1,12,12,12,12,12,12,0,0,0,0,0,1393,0,1
3853,50000,3,1,48,-1,-1,-1,-1,-1,-1,1058,1726,390,390,390,390,1726,390,390,390,390,390,0,1
3859,200000,2,1,36,1,-2,-1,-1,-1,-1,-1,-1,296,299,278,4575,0,297,303,279,4597,0,0,0
3883,200000,1,1,34,-1,-1,-1,-1,0,0,5392,1938,4819,13074,2070,0,1938,4819,13074,0,0,790,0,0
4064,240000,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4078,50000,2,2,29,3,2,2,0,0,0,49747,51075,43662,18115,17300,17947,2500,14,2000,1000,1500,1500,0,1
4088,150000,2,2,34,0,0,0,0,0,0,135587,138473,141297,144605,148420,150500,4000,4000,4500,5000,3500,0,0,0
4091,50000,2,2,24,0,0,0,0,0,0,35166,29045,15188,7582,7741,7958,1300,1106,1500,281,346,159,0,0
4150,130000,3,1,44,0,0,-2,-2,-2,-2,15722,0,0,0,0,0,0,0,0,0,0,0,0,0
4161,50000,1,2,25,4,4,4,4,3,2,35906,37038,38151,37264,36396,35659,2000,2000,0,0,0,3001,0,0
4218,50000,2,2,33,1,2,2,2,2,2,40159,41323,40364,42781,41966,48865,2100,0,3400,0,7800,0,0,1
4261,20000,2,2,33,0,0,0,0,0,0,16128,17441,18589,18607,19892,24338,2000,2000,2001,2001,100,4737,0,0
4342,50000,2,1,32,0,0,0,0,0,0,46253,46117,46919,17459,17825,18193,1998,3000,625,647,664,649,0,0
4526,50000,2,2,25,0,0,0,-1,-1,-2,11391,8081,16297,1000,0,0,1286,10048,1003,0,0,0,0,0
4555,160000,1,2,48,-1,2,2,-2,-2,-2,23037,22260,0,0,0,0,0,0,0,0,0,0,0,1
4642,50000,1,2,45,0,0,0,0,0,0,48719,49966,32538,20270,19992,20054,2212,2503,693,1000,1000,1000,0,0
4690,170000,3,1,39,1,2,2,2,0,0,171062,166870,165156,161137,164501,166064,0,13000,0,6000,12400,5700,0,0
4747,110000,2,1,27,1,2,2,2,2,2,46657,48615,49519,48421,50644,51662,3000,2000,0,3000,2000,3000,0,0
4799,480000,1,2,49,0,0,0,0,0,0,456668,424843,325772,320760,325841,331602,14706,15377,10481,11003,11303,11329,0,0
4831,140000,2,2,36,0,0,0,0,0,0,94586,92692,87696,80284,80086,81759,3519,3027,2905,3000,3000,3100,0,0
4955,340000,1,2,35,-1,-1,-1,-1,-1,-1,842,2865,-22,7569,797,1211,2873,0,7591,799,1214,18309,0,0
4971,110000,2,2,36,0,0,0,0,0,0,109345,111980,111563,106625,48631,49724,4400,4200,4406,1800,1900,1900,0,0
5011,20000,3,2,26,0,0,-2,-2,-2,-2,16320,0,0,0,0,0,0,0,0,0,0,0,0,0
5027,50000,2,1,25,0,0,0,0,0,0,48213,47750,46153,45572,45412,44985,1800,1700,1585,2000,2000,1600,0,0
5054,320000,2,2,32,0,0,0,0,0,0,75122,70308,51223,52371,54518,56601,4000,3000,2000,3000,3000,4000,0,0
5095,360000,1,2,26,0,-1,-1,0,-1,-1,11910,1356,4073,17812,2981,1936,1500,5000,15000,3000,2000,1033,0,0
5184,100000,2,1,40,0,0,0,-1,-1,-1,99958,76554,58610,9779,12273,2701,2975,2789,9779,12273,3105,16828,0,0
5254,200000,1,1,63,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,316,0,0
5282,50000,2,2,51,0,0,0,0,0,0,48726,49050,49584,19791,18518,19078,2100,1600,700,670,866,618,0,1
5395,70000,1,2,29,-1,-1,0,-1,2,-1,2343,14336,13155,3929,1953,967,15000,4000,4000,0,1000,1000,0,0
5416,500000,2,2,67,-1,-1,-1,-1,-1,-1,4410,2662,2533,1821,2498,3622,2681,2547,1826,2505,3630,3099,0,0
5486,30000,3,2,28,2,2,2,2,2,3,300,300,300,300,1300,1150,0,0,0,1000,150,0,0,1
5495,280000,1,1,34,0,0,0,0,0,0,212968,312960,373419,232919,228387,235187,237000,150000,10000,150000,10572,7313,0,0
5543,280000,2,2,30,2,2,2,2,2,0,110550,113877,115223,116930,112607,95949,6600,4700,5100,0,4200,3000,0,0
5545,200000,1,2,27,1,-2,-1,0,-1,-1,0,0,6331,6460,630,500,0,6331,129,630,500,0,0,0
5691,80000,1,2,38,-1,-1,-1,0,-1,-1,780,259,7544,390,390,332,259,7544,0,390,332,780,0,1
5735,60000,2,1,40,0,0,0,0,0,0,58078,58139,59461,37170,18464,15822,2354,2538,1000,2000,1000,1000,0,1
5786,60000,2,2,26,2,2,2,2,0,0,61103,61380,62158,120142,60428,58192,3000,2746,0,2297,1875,1158,0,1
6001,50000,2,1,33,0,0,0,0,0,0,13538,9199,6879,6753,5440,5440,2000,1284,264,109,390,0,0,0
6049,400000,2,2,29,1,2,0,0,0,0,21092,19756,19058,15146,15064,12774,0,1510,1010,1000,2000,2000,0,0
6148,220000,2,2,39,-1,-1,0,0,0,0,3553,15696,17257,21624,26246,30781,15696,5000,5000,5000,5000,5000,0,0
6154,460000,1,1,41,-1,-1,-1,-1,-1,-1,5383,40004,0,650,0,2232,40134,0,650,0,2232,3208,0,1
6180,90000,3,2,29,0,0,0,0,0,0,83683,65192,46273,46979,48139,44432,4000,3000,1700,2000,1591,2647,0,0
6249,390000,1,2,29,0,-1,0,0,0,0,9918,15918,103169,95669,88080,80576,16008,100000,5000,4000,4000,3000,0,0
6260,80000,2,2,32,1,2,0,0,0,-2,82212,79682,28242,21400,0,0,7,1200,1408,0,0,0,0,0
6269,120000,2,2,29,1,2,0,0,2,2,87376,85135,86024,91380,93263,95079,0,3200,6800,3500,3500,0,0,1
6316,10000,1,2,24,0,0,2,0,0,0,4216,6476,6224,6347,12856,8078,2500,0,227,239,3412,0,0,1
6379,120000,1,2,34,1,2,2,-1,-1,-1,650,625,300,475,300,325,300,0,500,300,500,300,0,1
6390,10000,3,0,40,0,0,0,0,0,-2,8286,9395,10000,10000,0,0,1400,1000,0,0,0,0,0,0
6400,30000,3,1,33,2,0,0,0,0,0,29742,30266,45414,21331,21987,22452,1406,1366,1000,1000,980,1000,0,1
6424,180000,1,2,28,0,0,0,0,0,-1,9853,18399,29973,42347,-53,10653,10732,22119,17012,0,10706,9659,0,0
6453,330000,1,1,46,-1,-1,-1,-1,0,0,7401,4567,6242,24353,20219,23163,4567,6443,24353,10219,13163,5909,0,0
6507,50000,2,2,52,1,2,0,0,0,2,5893,5653,6747,7859,7464,7199,0,1200,1200,1200,0,1200,0,0
6525,30000,2,1,33,0,0,0,0,0,0,23467,24195,25286,25807,26350,27409,1409,1500,942,959,1500,946,0,0
6535,170000,1,1,35,0,0,0,0,0,0,51207,38528,34688,30542,61032,23711,5000,2000,3000,1000,6000,8753,0,0
6641,130000,1,2,30,0,0,0,0,0,0,130705,132472,129576,129829,125382,124942,6500,4700,5000,4600,5200,4500,0,1
6664,180000,2,2,30,0,0,0,0,0,0,145563,147348,143548,133408,136481,140008,10035,5096,5000,5200,6024,5015,0,0
6749,50000,3,1,48,0,0,0,0,0,0,11839,13240,14015,14293,14763,14968,1600,1300,511,700,600,800,0,1
6757,90000,2,1,28,0,0,-2,-2,-2,-2,5580,0,0,0,0,0,0,0,0,0,0,776,0,0
6800,80000,2,2,24,0,0,0,0,0,2,26170,25215,26189,26801,28593,26020,1414,1388,1000,2180,0,929,0,1
6838,20000,1,2,25,1,2,2,0,0,0,17147,19557,18935,19005,17862,20393,3000,0,653,900,3000,27,0,1
6891,80000,1,2,31,0,0,0,0,0,0,48783,42692,34593,38808,40942,40854,5000,3000,5000,5000,3000,2000,0,0
6913,590000,1,1,63,0,0,0,-1,0,0,630458,646770,693131,324522,358774,369685,28000,61115,325000,40000,20000,51000,0,0
6937,370000,1,2,28,0,0,0,0,0,-1,87313,90345,37554,7628,1026,1422,5000,6000,2000,1000,1422,3600,0,0
7002,520000,1,1,55,-1,-1,-1,-1,-1,-1,2292,5139,8290,35024,10881,7208,5227,8309,35026,10883,7310,4890,0,0
7123,390000,1,1,45,2,2,0,0,0,0,185204,180455,131386,131879,115183,75131,0,6000,3500,5000,4500,3000,0,1
7188,20000,2,2,25,1,2,2,2,2,0,19242,20339,19707,20899,20450,20197,1700,0,1800,0,1000,900,0,0
7419,20000,2,1,59,1,-1,0,0,-1,-1,-1213,30322,20033,19871,15410,18969,52082,15800,2000,20085,39070,25000,0,0
7420,80000,1,2,29,-1,-1,2,0,0,0,2946,4599,1863,3309,1446,390,4599,0,1446,0,0,2493,0,0
7430,120000,3,2,50,-1,-1,-1,-1,-2,-2,390,0,780,0,0,0,0,780,0,0,0,0,0,1
7519,160000,2,2,37,0,0,0,0,0,0,119165,118392,117553,113256,112678,111924,6008,6011,3606,3803,4003,3311,0,0
7535,210000,2,1,54,2,-1,-1,-1,-1,-1,471,176,195,485,210,3483,176,195,485,0,4466,417,0,0
7574,280000,1,2,26,0,0,0,0,2,2,245969,251120,254735,270486,276026,271408,10600,9300,20000,10000,0,11000,0,0
7645,30000,3,2,49,0,-1,-1,0,-1,-1,15966,240,17433,16865,29220,11400,262,20416,852,29220,728,0,0,0
7672,200000,1,2,28,-2,-1,2,0,0,2,95065,112893,110059,34125,36031,31885,20000,0,34000,2500,0,50000,0,0
7816,250000,1,2,29,-1,-1,-1,-1,-1,0,12044,3260,4037,1184,5107,1893,3276,4057,1196,5123,6,2539,0,0
7829,50000,2,2,26,0,0,0,-1,-1,-1,5385,4754,-43,1757,-765,18032,2000,0,1800,0,19000,4000,0,0
7871,200000,1,2,26,-1,-1,-2,-2,-2,-2,299,-201,-201,-201,-201,-201,0,0,0,0,0,0,0,0
7926,50000,2,2,36,2,2,2,2,2,2,32899,34076,34522,33668,35323,36588,2000,1300,0,2200,2000,1500,0,1
7950,330000,3,2,48,1,-1,-1,-1,-1,-1,0,571,0,11942,300,-200,571,0,11942,300,0,0,0,0
8063,220000,2,2,30,-1,0,0,-2,-2,-2,2501,2071,0,0,0,0,1000,0,0,0,0,0,0,0
8097,240000,1,1,30,0,0,0,0,0,0,240770,243509,228735,198585,202762,202932,9000,8009,7100,7324,7200,7074,0,0
8125,200000,2,2,29,2,2,4,4,4,4,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,1
8217,20000,2,2,30,0,0,0,2,2,2,16728,17759,19752,19155,20385,19218,1307,2300,0,1525,0,1000,0,1
8222,10000,2,1,43,3,2,2,4,3,2,8261,9470,11163,10852,10396,10085,1500,2000,0,0,0,350,0,1
8257,80000,2,2,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8271,260000,1,1,45,0,0,0,0,0,0,21480,25791,31654,35784,40726,45923,5000,6781,5000,6452,6696,6892,0,0
8293,170000,1,1,35,-1,-1,-2,-2,-2,-1,473,-103,-103,-103,-103,2297,0,0,0,0,2400,0,0,1
8359,200000,3,1,38,0,0,0,0,0,0,181532,179645,180615,180127,166755,167416,8218,7912,6284,6313,6200,6419,0,0
8362,20000,2,1,32,0,0,2,0,0,0,19468,20844,19362,19402,19607,19821,3000,0,850,920,750,300,0,1
8379,60000,2,1,39,-1,0,0,0,0,0,14085,14575,18423,13099,14537,16928,2000,5000,4000,2000,5000,2000,0,0
8432,240000,2,1,44,-1,-1,-1,-1,0,-1,5428,9054,13158,6507,2955,1092,9064,13158,6860,2295,1092,2076,0,0
8444,10000,2,2,23,2,0,0,0,0,0,8638,8958,9414,9344,9545,9586,1294,1150,480,500,348,402,0,0
8509,50000,2,2,24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8538,30000,1,2,26,2,2,0,0,0,0,7510,7247,8165,8529,8743,8949,0,1200,500,500,500,500,0,1
8549,10000,2,2,28,-1,2,-1,-1,2,2,200,100,370,1766,1496,8356,0,370,1496,0,7000,0,0,0
8559,230000,2,2,30,0,0,0,0,0,0,120113,112301,104587,98333,88909,78872,4501,4585,3328,3500,2872,3000,0,0
8569,220000,1,1,50,-1,-1,-1,-1,-1,-1,3484,6742,4028,3576,2378,5946,6758,4028,3576,2378,5946,1489,0,0
8630,80000,1,2,31,0,0,0,0,0,0,46516,30122,24099,7764,4804,10221,15029,5048,229,303,6018,500,0,0
8673,50000,1,2,23,0,0,0,0,0,0,48954,35213,33404,18727,13793,19354,2000,4005,1000,1000,6000,1000,0,0
8738,90000,1,1,37,0,0,0,0,0,0,40028,38704,37135,35141,33502,34173,2000,1800,1150,1200,1150,1100,0,0
8860,180000,1,2,29,-1,-1,-1,-1,-1,-1,996,1593,2597,998,847,1912,1597,2604,1001,849,1915,4055,0,1
8915,330000,2,2,28,0,0,0,0,0,0,53260,37207,40560,41978,46728,40502,2000,4000,2000,5039,2164,2000,0,0
8920,50000,1,2,23,2,3,2,0,0,0,7557,7293,8017,8687,9048,9306,0,1000,810,500,408,500,0,1
9015,20000,3,1,69,0,0,0,0,0,0,18516,19193,18578,17989,19533,20039,1700,2000,2000,2000,831,400,0,0
9024,30000,2,2,27,1,2,0,-1,2,0,29956,28469,58384,29553,29933,30000,0,2000,30000,1000,1000,0,0,1
9048,20000,1,2,25,1,-1,2,2,2,2,0,1825,1346,587,338,1239,3650,0,300,0,1000,0,0,0
9154,210000,2,2,32,0,0,2,0,0,0,155913,165227,161427,164860,187329,186079,13000,0,5666,24886,6282,6494,0,0
9176,240000,2,2,30,0,0,0,0,0,-1,151127,155421,154926,148681,24105,9770,10000,10000,300,1000,9770,18037,0,0
9199,260000,2,1,31,0,0,0,0,-2,-2,12695,9277,7065,0,0,0,4005,4150,0,0,0,0,0,0
9268,50000,1,2,33,0,0,0,0,0,0,21171,22698,14125,18025,9063,10747,2028,2000,4000,2000,2000,2000,0,0
